num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
8,4,0,CHAIN,10,1102
8,4,0,CHAIN,11,1179
8,4,0,CHAIN,12,1238
8,4,0,CHAIN,13,1274
8,4,0,CHAIN,14,1251
8,4,0,CHAIN,15,1341
8,4,0,CHAIN,16,1238
8,4,0,CHAIN,17,1279
8,4,0,CHAIN,18,1228
8,4,0,CHAIN,19,1157
8,4,0,STAR,0,1167
8,4,0,STAR,1,1157
8,4,0,STAR,2,1124
8,4,0,STAR,3,1167
8,4,0,STAR,4,1186
8,4,0,STAR,5,1186
8,4,0,STAR,6,1297
8,4,0,STAR,7,1116
8,4,0,STAR,8,1153
8,4,0,STAR,9,1304
8,4,0,STAR,10,1444
8,4,0,STAR,11,1086
8,4,0,STAR,12,1269
8,4,0,STAR,13,1220
8,4,0,STAR,14,1080
8,4,0,STAR,15,1153
8,4,0,STAR,16,1161
8,4,0,STAR,17,1188
8,4,0,STAR,18,1159
8,4,0,STAR,19,1346
8,4,0,CYCLE,0,1318
8,4,0,CYCLE,1,1190
8,4,0,CYCLE,2,1225
8,4,0,CYCLE,3,1137
8,4,0,CYCLE,4,1299
8,4,0,CYCLE,5,1300
8,4,0,CYCLE,6,1363
8,4,0,CYCLE,7,1156
8,4,0,CYCLE,8,1132
8,4,0,CYCLE,9,1231
8,4,0,CYCLE,10,1303
8,4,0,CYCLE,11,1243
8,4,0,CYCLE,12,1280
8,4,0,CYCLE,13,1263
8,4,0,CYCLE,14,1177
8,4,0,CYCLE,15,1160
8,4,0,CYCLE,16,1216
8,4,0,CYCLE,17,1311
8,4,0,CYCLE,18,1164
8,4,0,CYCLE,19,1210
8,4,2,CHAIN,0,2612
8,4,2,CHAIN,1,2823
8,4,2,CHAIN,2,2691
8,4,2,CHAIN,3,2769
8,4,2,CHAIN,4,2788
8,4,2,CHAIN,5,2598
8,4,2,CHAIN,6,2644
8,4,2,CHAIN,7,2572
8,4,2,CHAIN,8,2607
8,4,2,CHAIN,9,2900
8,4,2,CHAIN,10,2923
8,4,2,CHAIN,11,2903
8,4,2,CHAIN,12,2719
8,4,2,CHAIN,13,2756
8,4,2,CHAIN,14,2898
8,4,2,CHAIN,15,2691
8,4,2,CHAIN,16,2668
8,4,2,CHAIN,17,2483
8,4,2,CHAIN,18,2921
8,4,2,CHAIN,19,2643
8,4,2,STAR,0,2577
8,4,2,STAR,1,2896
8,4,2,STAR,2,2623
